~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~,~
~,JOB INFORMATION AND TOOLS,,~,EQUIPMENT NEEDED,MODEL NUMBERS,QTY.,NEW?,~,PLENUMS / SPECIALIZED DUCTWORK,DIMENSIONS,QTY.,NEW?,~,Category,MATERIALS,QTY.,NEW?,~,Category,FITTINGS,QTY.,NEW?,~
~,Salesman Name,New Update!,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SUPPLY PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,ADD-ONS,Ionizer (Clear-Sky),,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE 20' Pipe",,FALSE,~
~,Job Name,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SUPPLY PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,ADD-ONS,HALO-LED Whole Home Air Purifier,,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE 90",,FALSE,~
~,Project Number | PipeDrive ID,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SUPPLY PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,ADD-ONS,AprilAire 800 Steam Humidifier,,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE Coupling",,FALSE,~
~,Job address,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SUPPLY PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,ADD-ONS,AprilAire 400 Evaporative Humidifier,,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE 45",,FALSE,~
~,Company of Origin,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,ADD-ONS,Kumo Cloud (Mitsubishi Wireless Interface 2),,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE Male Adaptor",,FALSE,~
~,Material List Creation Date,6/11/2026,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,ADD-ONS,Surge Protector,,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE Female Adaptor",,FALSE,~
~,Scheduled Start Date,Not Scheduled,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,~,~,~,~,~,"1-1/4"" HDPE","1-1/4"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN PLENUM,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,RIB Relay,,FALSE,~,"1-1/4"" HDPE","1-1/4"" x 1"" HDPE Tee",,FALSE,~
~,Estimated Material Cost,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,COFFIN BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Electrical Wire Lugs,,FALSE,~,"1-1/4"" HDPE","1-1/4"" x 1"" x 1"" HDPE Tee",,FALSE,~
~,$0.00,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,COFFIN BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Furnace Mounting Blocks,,FALSE,~,"1-1/4"" HDPE","1-1/4"" x 1"" HDPE Reducer",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,COFFIN BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Foam Blocks,,FALSE,~,"1-1/4"" HDPE","1-1/4"" HDPE Cap",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,COFFIN BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Kendorf Unistruts,,FALSE,~,~,~,~,~,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN CEILING BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,"3/8"" Threaded Rods",,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE 20' Pipe",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN CEILING BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,1201 Ductless Stand,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE 90",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN CEILING BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,1202 Large Ductless Stand,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Coupling",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,RETURN CEILING BOX,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Ductless Wall Bracket,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE 45",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,36x48x2 Condenser Pad,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Male Adaptor",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,32x32x2 Condenser Pad,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Female Adaptor",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,32x32x8 H/P PAD,,FALSE,~,"1-1/2"" HDPE","1-1/2"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,CANVAS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,36x36x2 Condenser Pad,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1"" HDPE Tee",,FALSE,~
~,~,~,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,36x36x8 H/P PAD,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1"" x 1"" HDPE Tee",,FALSE,~
~,SEARCH TOOL,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,"1/2"" Whip",,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1-1/4"" HDPE Tee",,FALSE,~
~,,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,"3/4"" Whip",,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1-1/4"" x 1-1/4"" HDPE Tee",,FALSE,~
~,MATERIAL NAME,,~,EQUIPMENT,ENTER MODEL NUMBER HERE,,FALSE,~,SPECIFIC DUCT FITTINGS,ENTER DIMENSIONS HERE,,FALSE,~,GENERAL MATERIALS,Disconnect,,FALSE,~,"1-1/2"" HDPE","1-1/2"" x 1"" HDPE Reducer",,FALSE,~
