Item Name,Estimated Price,Result Type
Ionizer (Clear-Sky),$125.00,Estimated
HALO-LED Whole Home Air Purifier,$539.94,Pricing Guts!A37
AprilAire 800 Steam Humidifier,"$1,024.40",Pricing Guts!A687
AprilAire 400 Evaporative Humidifier,$274.12,Pricing Guts!A686
Kumo Cloud (Mitsubishi Wireless Interface 2),$153.20,Pricing Guts!A1102
Surge Protector,$71.12,Pricing Guts!A1072
RIB Relay,$20.80,Pricing Guts!A994
Electrical Wire Lugs,$15.00,Estimated
Furnace Mounting Blocks,$5.81,Pricing Guts!A768
Foam Blocks,$3.88,Pricing Guts!A617
Kendorf Unistruts,$42.75,Estimated
"3/8"" Threaded Rods",$8.42,Pricing Guts!A1127
1201 Ductless Stand,$325.00,Estimated
1202 Large Ductless Stand,$325.00,Estimated
Ductless Wall Bracket,$65.00,Estimated
36x48x2 Condenser Pad,$99.65,Pricing Guts!A806
32x32x2 Condenser Pad,$28.13,Pricing Guts!A801
32x32x8 H/P PAD,$45.75,Estimated
36x36x2 Condenser Pad,$32.75,Pricing Guts!A803
36x36x8 H/P PAD,$35.00,Estimated
"1/2"" Whip",$8.75,Estimated
"3/4"" Whip",$8.75,Estimated
Disconnect,$25.00,Estimated
Drain Pan,$45.00,Estimated
EZ-Trap,$15.75,Estimated
Pan Switch,$18.75,Estimated
R4 Bubble Wrap,$234.90,Pricing Guts!A193
R8 Bubble Wrap,$210.76,Pricing Guts!A195
18/2 Thermostat Wire,$99.41,Pricing Guts!A1232
18/3 Thermostat Wire,$496.31,Pricing Guts!A1234
18/4 Thermostat Wire,$66.72,Pricing Guts!A1236
18/6 Thermostat Wire,$99.01,Pricing Guts!A1238
18/8 Thermostat Wire,$100.99,Pricing Guts!A1240
14/4 Black Wire,$0.25,Estimated
16/2 White Sheilded Cable,$28.75,Estimated
115V Low Profile Condensate Pump,$65.00,Estimated
115V Condensate Pump,$52.68,Pricing Guts!A274
230V Low Profile Condensate Pump,$125.00,Estimated
230V Condensate Pump,$93.16,Pricing Guts!A276
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
NAME AND MODEL NUMBER OR DIMENSIONS,$0.00,Ignored
